name	version	license	license_source
rustix	0.38.44	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	vendor/rustix-0.38.44/Cargo.toml
rustix	1.0.5	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	vendor/rustix/Cargo.toml
rustversion	1.0.20	MIT OR Apache-2.0	vendor/rustversion/Cargo.toml
ryu	1.0.20	Apache-2.0 OR BSL-1.0	vendor/ryu/Cargo.toml
same-file	1.0.6	Unlicense/MIT	vendor/same-file/Cargo.toml
schemars	0.8.22	MIT	vendor/schemars/Cargo.toml
schemars_derive	0.8.22	MIT	vendor/schemars_derive/Cargo.toml
scopeguard	1.2.0	MIT OR Apache-2.0	vendor/scopeguard/Cargo.toml
semver	0.11.0	MIT/Apache-2.0	vendor/semver-0.11.0/Cargo.toml
semver	1.0.26	MIT OR Apache-2.0	vendor/semver/Cargo.toml
semver-parser	0.10.3	MIT/Apache-2.0	vendor/semver-parser/Cargo.toml
serde	1.0.219	MIT OR Apache-2.0	vendor/serde/Cargo.toml
serde_derive	1.0.219	MIT OR Apache-2.0	vendor/serde_derive/Cargo.toml
serde_derive_internals	0.29.1	MIT OR Apache-2.0	vendor/serde_derive_internals/Cargo.toml
serde_json	1.0.140	MIT OR Apache-2.0	vendor/serde_json/Cargo.toml
serde_repr	0.1.20	MIT OR Apache-2.0	vendor/serde_repr/Cargo.toml
serde_spanned	0.6.8	MIT OR Apache-2.0	vendor/serde_spanned/Cargo.toml
sha1	0.10.6	MIT OR Apache-2.0	vendor/sha1/Cargo.toml
sha1-checked	0.10.0	MIT OR Apache-2.0	vendor/sha1-checked/Cargo.toml
sha2	0.10.8	MIT OR Apache-2.0	vendor/sha2/Cargo.toml
sha2	0.9.9	MIT OR Apache-2.0	vendor/sha2-0.9.9/Cargo.toml
shadow-rs	1.1.1	MIT AND Apache-2.0	vendor/shadow-rs/Cargo.toml
shared_library	0.1.9	Apache-2.0/MIT	vendor/shared_library/Cargo.toml
shell-words	1.1.0	MIT/Apache-2.0	vendor/shell-words/Cargo.toml
shlex	1.3.0	MIT OR Apache-2.0	vendor/shlex/Cargo.toml
signal-hook	0.1.17	Apache-2.0/MIT	vendor/signal-hook-0.1.17/Cargo.toml
signal-hook	0.3.17	Apache-2.0/MIT	vendor/signal-hook/Cargo.toml
signal-hook-registry	1.4.5	Apache-2.0/MIT	vendor/signal-hook-registry/Cargo.toml
siphasher	1.0.1	MIT/Apache-2.0	vendor/siphasher/Cargo.toml
slab	0.4.9	MIT	vendor/slab/Cargo.toml
smallvec	1.15.0	MIT OR Apache-2.0	vendor/smallvec/Cargo.toml
stable_deref_trait	1.2.0	MIT/Apache-2.0	vendor/stable_deref_trait/Cargo.toml
starship-battery	0.10.1	ISC	vendor/starship-battery/Cargo.toml
static_assertions	1.1.0	MIT OR Apache-2.0	vendor/static_assertions/Cargo.toml
strsim	0.11.1	MIT	vendor/strsim/Cargo.toml
syn	1.0.109	MIT OR Apache-2.0	vendor/syn-1.0.109/Cargo.toml
syn	2.0.101	MIT OR Apache-2.0	vendor/syn/Cargo.toml
synstructure	0.13.1	MIT	vendor/synstructure/Cargo.toml
systemstat	0.2.4	Unlicense	vendor/systemstat/Cargo.toml
tauri-winrt-notification	0.7.2	MIT OR Apache-2.0	vendor/tauri-winrt-notification/Cargo.toml
tempfile	3.19.1	MIT OR Apache-2.0	vendor/tempfile/Cargo.toml
terminal_size	0.4.2	MIT OR Apache-2.0	vendor/terminal_size/Cargo.toml
terminfo	0.7.5	WTFPL	vendor/terminfo/Cargo.toml
termios	0.3.3	MIT	vendor/termios/Cargo.toml
termtree	0.5.1	MIT	vendor/termtree/Cargo.toml
termwiz	0.15.0	MIT	vendor/termwiz/Cargo.toml
