name	version	license	license_source
signal-hook-registry	1.4.2	Apache-2.0/MIT	vendor/signal-hook-registry/Cargo.toml
signal-hook-tokio	0.3.1	Apache-2.0/MIT	vendor/signal-hook-tokio/Cargo.toml
simd-adler32	0.3.7	MIT	vendor/simd-adler32/Cargo.toml
simd_helpers	0.1.0	MIT	vendor/simd_helpers/Cargo.toml
simdutf8	0.1.5	MIT OR Apache-2.0	vendor/simdutf8/Cargo.toml
slab	0.4.9	MIT	vendor/slab/Cargo.toml
smallvec	1.15.0	MIT OR Apache-2.0	vendor/smallvec/Cargo.toml
smawk	0.3.2	MIT	vendor/smawk/Cargo.toml
socket2	0.5.9	MIT OR Apache-2.0	vendor/socket2/Cargo.toml
static_assertions	1.1.0	MIT OR Apache-2.0	vendor/static_assertions/Cargo.toml
strsim	0.11.1	MIT	vendor/strsim/Cargo.toml
strum	0.26.3	MIT	vendor/strum/Cargo.toml
strum_macros	0.26.4	MIT	vendor/strum_macros/Cargo.toml
syn	2.0.100	MIT OR Apache-2.0	vendor/syn/Cargo.toml
syntect	5.2.0	MIT	vendor/syntect/Cargo.toml
system-deps	6.2.2	MIT OR Apache-2.0	vendor/system-deps/Cargo.toml
target-lexicon	0.12.16	Apache-2.0 WITH LLVM-exception	vendor/target-lexicon/Cargo.toml
textwrap	0.16.2	MIT	vendor/textwrap/Cargo.toml
thiserror	1.0.69	MIT OR Apache-2.0	vendor/thiserror-1.0.69/Cargo.toml
thiserror	2.0.12	MIT OR Apache-2.0	vendor/thiserror/Cargo.toml
thiserror-impl	1.0.69	MIT OR Apache-2.0	vendor/thiserror-impl-1.0.69/Cargo.toml
thiserror-impl	2.0.12	MIT OR Apache-2.0	vendor/thiserror-impl/Cargo.toml
thread_local	1.1.8	MIT OR Apache-2.0	vendor/thread_local/Cargo.toml
tikv-jemalloc-sys	0.6.0+5.3.0-1-ge13ca993e8ccb9ba9847cc330696e02839f328f7	MIT/Apache-2.0	vendor/tikv-jemalloc-sys/Cargo.toml
tikv-jemallocator	0.6.0	MIT/Apache-2.0	vendor/tikv-jemallocator/Cargo.toml
time	0.3.41	MIT OR Apache-2.0	vendor/time/Cargo.toml
time-core	0.1.4	MIT OR Apache-2.0	vendor/time-core/Cargo.toml
time-macros	0.2.22	MIT OR Apache-2.0	vendor/time-macros/Cargo.toml
tokio	1.44.2	MIT	vendor/tokio/Cargo.toml
tokio-macros	2.5.0	MIT	vendor/tokio-macros/Cargo.toml
tokio-stream	0.1.17	MIT	vendor/tokio-stream/Cargo.toml
tokio-util	0.7.14	MIT	vendor/tokio-util/Cargo.toml
toml	0.8.20	MIT OR Apache-2.0	vendor/toml/Cargo.toml
toml_datetime	0.6.8	MIT OR Apache-2.0	vendor/toml_datetime/Cargo.toml
toml_edit	0.22.24	MIT OR Apache-2.0	vendor/toml_edit/Cargo.toml
tracing	0.1.41	MIT	vendor/tracing/Cargo.toml
tracing-appender	0.2.3	MIT	vendor/tracing-appender/Cargo.toml
tracing-attributes	0.1.28	MIT	vendor/tracing-attributes/Cargo.toml
tracing-core	0.1.33	MIT	vendor/tracing-core/Cargo.toml
tracing-log	0.2.0	MIT	vendor/tracing-log/Cargo.toml
tracing-subscriber	0.3.19	MIT	vendor/tracing-subscriber/Cargo.toml
trash	5.2.2	MIT	vendor/trash/Cargo.toml
twox-hash	2.1.0	MIT	vendor/twox-hash/Cargo.toml
typeid	1.0.3	MIT OR Apache-2.0	vendor/typeid/Cargo.toml
typenum	1.18.0	MIT OR Apache-2.0	vendor/typenum/Cargo.toml
unicode-ident	1.0.18	(MIT OR Apache-2.0) AND Unicode-3.0	vendor/unicode-ident/Cargo.toml
unicode-linebreak	0.1.5	Apache-2.0	vendor/unicode-linebreak/Cargo.toml
unicode-segmentation	1.12.0	MIT OR Apache-2.0	vendor/unicode-segmentation/Cargo.toml
unicode-truncate	1.1.0	MIT OR Apache-2.0	vendor/unicode-truncate/Cargo.toml
unicode-width	0.1.14	MIT OR Apache-2.0	vendor/unicode-width-0.1.14/Cargo.toml
unicode-width	0.2.0	MIT OR Apache-2.0	vendor/unicode-width/Cargo.toml
urlencoding	2.1.3	MIT	vendor/urlencoding/Cargo.toml
utf8parse	0.2.2	Apache-2.0 OR MIT	vendor/utf8parse/Cargo.toml
uzers	0.12.1	MIT	vendor/uzers/Cargo.toml
v_frame	0.3.8	BSD-2-Clause	vendor/v_frame/Cargo.toml
valuable	0.1.1	MIT	vendor/valuable/Cargo.toml
vergen	9.0.4	MIT OR Apache-2.0	vendor/vergen/Cargo.toml
vergen-gitcl	1.0.5	MIT OR Apache-2.0	vendor/vergen-gitcl/Cargo.toml
vergen-lib	0.1.6	MIT OR Apache-2.0	vendor/vergen-lib/Cargo.toml
version-compare	0.2.0	MIT	vendor/version-compare/Cargo.toml
version_check	0.9.5	MIT/Apache-2.0	vendor/version_check/Cargo.toml
